0.01	3264
0.01	3280
0.03	3280
0.01	3360
0.05	3600
0.02	3328
0.03	3536
0.03	3568
0.00	3184
0.01	3344
0.05	3696
0.03	3376
0.02	3392
0.03	3344
0.02	3440
0.03	3696
0.03	3376
0.04	3696
0.03	4000
0.04	3712
0.04	3856
0.05	3728
0.03	3488
0.05	3712
0.03	3696
0.04	3760
0.05	3824
0.05	3728
0.05	3744
0.02	3584
0.01	3440
0.04	3680
0.03	3392
0.02	3440
0.04	3680
0.01	3536
0.05	3824
0.03	3408
0.02	3440
0.04	3728
0.03	3600
0.01	3056
0.05	3808
0.05	3968
0.02	3488
0.02	3520
0.05	3504
0.02	3552
0.02	3312
0.03	3568
0.03	3648
0.01	3200
0.03	3792
0.03	3760
0.03	3648
0.05	4112
0.02	3760
0.01	3392
0.02	3376
0.03	3648
0.01	3344
0.04	3648
0.02	3456
0.01	3440
0.02	3248
0.02	3344
0.04	3792
0.01	3312
0.01	3152
0.01	3408
0.02	3504
0.01	3312
0.02	3344
0.02	3376
0.03	3536
0.02	3312
0.02	3520
0.06	3840
0.06	4048
0.06	4176
0.02	3536
0.02	3408
0.01	3312
0.03	3648
0.01	3280
0.03	3616
0.02	3504
0.03	3456
0.04	3600
0.01	3440
0.01	3104
0.01	3376
0.02	3472
0.02	3520
0.01	3392
0.03	3264
0.01	3312
0.01	3216
0.01	3408
0.01	3248
0.01	3408
0.01	3248
0.03	3472
0.02	3536
0.01	3248
0.01	3216
0.02	3472
0.01	3280
0.02	3440
0.02	3504
0.01	3312
0.02	3264
0.01	3248
0.02	3328
0.02	3648
0.02	3312
0.03	3520
0.01	3472
0.04	3616
0.03	3616
0.05	4048
0.02	3424
0.01	3408
0.02	3408
0.01	3408
0.03	3552
0.02	3696
0.04	3824
0.04	3680
0.01	3344
0.03	3440
0.03	3344
0.02	3584
0.03	3392
0.03	3536
0.02	3472
0.02	3472
0.02	3392
0.02	3552
0.01	3520
0.03	3472
0.02	3568
0.02	3408
0.02	3408
0.02	3424
0.01	3344
0.01	3456
0.02	3536
0.04	3792
0.02	3472
0.02	3408
0.02	3712
0.03	3680
0.02	3536
0.03	3856
0.02	3456
0.01	3312
0.04	3872
0.03	3312
0.10	3872
0.01	3232
0.03	3936
0.02	3408
0.01	3072
0.02	3200
0.01	3408
